name	meaning
Hermes	Mercury; gain; refuge
Johanan	who is liberal or merciful
Chesil	foolishness
Jetur	order; succession; mountainous
Simon	that hears; that obeys
Bajith	a house
Uzziel	the strength, or kid, of the Lord
Geliloth	rolling, wheel, heap
Areopagus	the hill of Mars
Darda	home of knowledge
Jehovah-nissi	the Lord my banner
Jah	the everlasting
Athaiah	the Lord's time
Etam	their bird, their covering
Elimelech	my God is king
Azgad	a strong army; a gang of robbers
Shalem	same as Salem
Machbanai	poverty; the smiting of his son
Baalah	her idol; she that is governed or subdued; a spouse
Nedabiah	prince or vow of the Lord
Belteshazzar	who lays up treasures in secret
Teraphim	images; idols
En-tappuah	fountain of an apple, or of inflation
Dibri	an orator
Abiah	the Lord is my father
Jarah	a wood; honeycomb; watching closely
Decapolis	containing ten cities
Rephael	the physic or medicine of God
Shemeber	name of force; name of the strong
Shapham	rabbit; wild rat; their lip; their brink
Zimmah	thought; wickedness
Jerubbaal	he that defends Baal, let Baal defend his cause
Senaah	bramble; enemy
Tabeal	good God
Miletum	red; scarlet
Joktan	small dispute; contention; disgust
Jehiskiah	the strength, or taking, of the Lord
Japhet	enlarged; fair; persuading
Hali	sickness; a beginning; a precious stone
Shochoh	defense; a bough
Edrei	a very great mass, or cloud
Jabez	sorrow; trouble
Cnidus	age
Pashur	that extends or multiplies the hole; whiteness
Balaam	the ancient of the people; the destruction of the people
Boson	taking away
Pentapolis	five cities
Moladah	birth; generation
Michri	selling
Chisleu	rashness; confidence
Moses	taken out; drawn forth
Achshaph	poison; tricks
Janoah	resting; tarrying; deriving
Apollonia	perdition, destruction
Bethshan	house of the tooth, or of ivory, or of sleep
Jahaziah	the vision of the Lord
Riblah	quarrel; greatness to him
Esek	contention
Hadlai	loitering; hindering
Jehozabad	the Lord's dowry; having a dowry
Joakim	rising or establishing of the Lord
Baal-tamar	master of the palm-tree
Ammi	same as Ammah
Aznoth-tabor	the ears of Tabor; the ears of purity or contrition
Bethphage	house of my month, or of early figs
Jael	he that ascends; a kid
Tammuz	abstruse; concealed; consumed
Hodiah	same as Hodaiah
Shamir	prison; bush; lees; thorn
Hammon	heat; the sun
Meshillamith	peaceable; perfect; giving again
Shehariah	mourning or blackness of the Lord
Chilion	finished; complete; perfect
Elnaam	God's fairness
Henoch	same as Enoch
Zithri	to hide; demolished
Teman	the south; Africa; perfect
Maachah	pressed down; worn; fastened
Tarah	a hair; a wretch; one banished
Hoham	woe to them
Eshean	held up
Manaen	a comforter; a leader
Hierapolis	holy city
Phalec	same as Peleg
Semaiah	obeying the Lord
Gibbar	strong, manly
Ibri	passing over; being angry; being with young
Cush	Ethiopians; blackness
Andrew	a strong man
Uel	desiring God
Beth-shemesh	house of the sun
Merab	he that fights or disputes
Zalmon	his shade; his image
Besodeiah	counsel of the Lord
Tahan	beseeching; merciful
Punites	beholding; my face
Habakkuk	he that embraces; a wrestler
Luhith	made of boards
Melzar	circumcision of a narrow place, or of a bond
Antothijah	answers or songs of the Lord; afflictions
Lycaonia	she-wolf
Apollyon	a destroyer
Betharabah	house of sweet smell
Taralah	searching out slander, or strength
Eleph	learning
Geshuri	sight of the valley; a walled valley
Ammizabad	dowry of the people
Ispah	a jasper stone
Jehoiarib	fighting, or multiplying, of the Lord
Iscariot	a man of murder; a hireling
Exodus	going out, departure
Sheariah	gate of the Lord; tempest of the Lord
Aphek	strength; a rapid torrent
Ether	talk
Jesaiah	health, or salvation, of the Lord
Aroer	heath; tamarisk
Paseah	passing over; halting
Peor	hole; opening
Upharsin	divided
Hothir	excelling; remaining
Rezon	lean; small; secret; prince
Irshemesh	a city of bondage
Ahiman	brother of the right hand
Meshelemiah	peace, or perfection, of the Lord
Meribbaal	he that resists Baal; rebellion
Neah	moved; moving
Ammihud	people of praise
Gallio	who sucks, or lives on milk
Hanes	banishment of grace
Amashai	the people's gift
Joram	to cast; elevated
Jeruel	fear, or vision of God
Jorai	showing; casting forth; a cauldron
Jorah	showing; casting forth; a cauldron
Bizjothjah	despite
Marah	bitter; bitterness
Zophim	place for a watchman
Dilean	that is poor
Hazo	seeing; prophesying
Hatita	a bending of sin
Sabaoth	Lord of hosts
Goliath	passage; revolution; heap
Alexander	one who assists men
Sanballat	bramble-bush; enemy in secret
Sardis	prince of joy
Almon-diblathaim	hidden in a cluster of fig trees
Arnon	rejoicing; sunlight
Hor	who conceives, or shows; a hill
Igeal	a redeemer; redeemed; defiled
Hod	praise; confession
Jeriel	fear, or vision of God
Ruth	drunk; satisfied
Haahashtari	a runner
Ariel	altar; light or lion of God
Zeruah	leprous; wasp; hornet
Diblaim	cluster of figs
Ahishar	brother of a prince; brother of a song
Mammon	riches
Amorite	bitter; a rebel; a babbler
Horeb	desert; solitude; destruction
Jochebed	glorious; honorable
Hymeneus	nuptial; the god of marriage
Dizahab	where much gold is
Augustus	increased, augmented
Huram	their liberty; their whiteness; their hole
Orpah	the neck or skull
Horem	an offering dedicated to God
Bilshan	in the tongue
Shamgar	named a stranger; he is here a stranger
Jambres	poverty; bitter; a rebel
Ahikam	a brother who raises up or avenges
Baasha	he that seeks, or lays waste
Matred	wand of government
Othni	my time; my hour
Azmon	bone of a bone; our strength
Noph	honeycomb; anything that distills or drops
Hallelujah	praise the Lord
Kirjath-huzoth	city of streets; populous city
Ramoth	eminences; high places
Zebah	victim; sacrifice
Baalath	a rejoicing; our proud lord
Naphtali	that struggles or fights
Jemuel	God's day; son of God
Sarid	remaining; hand of a prince
Michal	who is perfect?
En-haddah	quick sight; well of gladness
Jew	same as Judah
Stachys	spike or ear of corn
Daniel	judgment of God; God my judge
Jashub	a returning; a controversy; a dwelling place
Jaddua	known
Mahaz	an end; ending; growing hope
Geshur	sight of the valley; a walled valley
Beth-lehem	house of bread
Julia	downy; soft and tender hair
Pochereth	cutting of the mouth of warfare
Minni	reckoned; prepared
Huzoth	streets; populous
Jahaz	quarrel; dispute
Mordecai	contrition; bitter; bruising
Eli	my God, my God
Aholah	his tabernacle; his tent
Rhegium	rupture; fracture
Shomer	keeper; dregs
Cabbon	as though understanding
Antipas	for all, or against all
Ishmerai	keeper, or keeping
Adriel	the flock of God
Tahapenes	secret temptation
Abib	green fruit; ears of corn
Tochen	middle
Memucan	impoverished; to prepare; certain; true
Elizur	God is my strength; my rock; rock of God
Pasach	thy broken piece
Baal-shalisha	the god that presides over three; the third idol
Amittai	true; fearing
Ephes-dammim	effusion of blood
Jokshan	an offense; hardness; a knocking
Unni	poor; afflicted; that answers
Rizpah	bed; extension; a coal
Alush	mingling together
Miriam	rebellion
Ahishahur	brother of the morning or dew; brother of blackness
Eutychus	happy; fortunate
Melea	supplying; supplied
Apollos	one who destroys; destroyer
Berachiah	speaking well of the Lord
Salma	peace; perfection
Gennesaret	garden of the prince
Hazarenan	imprisoned cloud
Mispar	numbering; showing; increase of tribute
Jalon	tarrying; murmuring
Rabmag	who overthrows or destroys a multitude
Shaveh	the plain; that makes equality
Elzaphan	God of the northeast wind
Bamah	an eminence or high place
Laadan	for pleasure; devouring; judgment
Jehudijah	the praise of the Lord
Laadah	to assemble together; to testify; passing over
Elhanan	grace, or gift, or mercy of God
Magpiash	a body thrust hard together
Aholibah	my tent, or my tabernacle, in her
Admah	earthy; red; bloody
Shalisha	three; the third; prince; captain
Pekod	noble; rulers
Bealoth	cast under
Shimeah	that hears, or obeys; perdition
Azrikam	help, revenging
Enoch	dedicated; disciplined
Jamlech	reigning; asking counsel
Esther	secret; hidden
Seba	a drunkard; that turns
Jogbehah	an exalting; high
Aphiah	speaking, blowing
Samos	full of gravel
Amasa	sparing the people
Merari	bitter; to provoke
Bedan	according to judgment
Amon	faithful; true
Bedad	alone; solitary
Labana	the moon; whiteness; frankincense
Rhesa	will; course
Shemuel	appointed by God
Euphrates	that makes fruitful
Chenani	my pillar
Shuphim	wearing them out; their shore
Uzzen-sherah	ear of the flesh
Miamin	the right hand
Hillel	he that praises
Nephthoah	opening; open
Mekonah	a foot of a pillar; provision
Jarvah	breathing, or making, a sweet smell
Shobach	your bonds; your chains
Bethemek	house of deepness
Hauran	a hole; liberty; whiteness
Jazeel	strength of God
Oshea	same as Joshua
Erech	length; health; physic
Ramiah	exaltation of the Lord
En-shemesh	fountain, or eye, of the sun
Anub	same as Anab
Aceldama	field of blood
Chittem	those that bruise; gold
Hazarmaveth	dwelling of death
Amos	loading; weighty
Chloe	green herb
Akkub	foot-print; supplanting; crookedness; lewdness
Archelaus	the prince of the people
Golan	passage; revolution
Ellasar	revolting from God
Tidal	that breaks the yoke; knowledge of elevation
Libni	same as Libnah
Zeboiim	deer; goats
Timnath-serah	image of the sun; numbering of the rest
Tyres	strength; rock; sharp
Oboth	dragons; fathers; desires
Idbash	flowing with honey; the land of destruction
Ithream	excellence of the people
Elam	a young man; a virgin; a secret
Elah	an oak; a curse; perjury
Messiah	anointed
Jair	my light; who diffuses light
Jekamiah	establishing, or revenging, of the Lord
Dagon	corn; a fish
Eshtaol	a strong woman
Apocrypha	hidden
Didymus	a twin; double
Zebina	flowing now; selling; buying
Azur	he that assists or is assisted
Eluzai	God is my strength
Keros	crooked; crookedness
Ziklag	measure pressed down
Joah	fraternity; brother of the Lord
Matthanias	same as Mattaniah
En-hazor	the grass of the well
Assyria	country of Assur or Ashur
Jakim	rising; confirming; establishing
Adummim	earthy; red; bloody things
Samlah	his raiment; his left hand; his astonishment
Mehir	a reward
Kitron	making sweet; binding together
Philadelphia	love of a brother
Naphish	the soul; he that rests, refreshes himself, or respires
Hamath	anger; heat; a wall
Shuthelah	plant; verdure; moist; pot
Shinab	father of changing
Caiphas	he that seeks with diligence; one that vomiteth
Esmachiah	joined to the Lord
Hadadrimmon	invocation to the god Rimmon
Shinar	watch of him that sleeps
Zobebah	an army; warring
Careah	bald; ice
Elidad	beloved of God
Beth-peor	house of gaping, or opening
Helek	part; portion
Jehonadab	free giver; liberality
Jeremai	my height; throwing forth waters
Helem	dreaming; healing
Salem	complete or perfect peace
Beth-lebaoth	house of lionesses
Heled	the world; rustiness
Kithlish	it is a wall; the company of a lioness
Benhanan	son of grace
Sosipater	who defends the father
Paran	beauty; glory; ornament
Janohah	resting; tarrying; deriving
Abel-beth-maachah	mourning to the house of Maachah
Ohad	praising; confessing
Shilhi	bough; weapon; armor
Zabbai	flowing
Hamath-zobah	the heat, or the wall, of an army
Ishbi-benob	respiration; conversion; taking captive
Jahath	broken in pieces; descending
Tahpenes	standard; flight; temptation
Arioch	long; great; tall
Malchiah	the Lord my king, or my counselor
Habor	a partaker; a companion
Tarsus	winged; feathered
Chisloth-tabor	fears; purity
Silas	three, or the third
Huldah	the world
Rehum	merciful; compassionate
Hittite	one who is broken; who fears
Hukkok	engraver; scribe; lawyer
Satan	contrary; adversary; enemy; accuser
Sechu	defense; bough
Abiasaph	consuming father; gathering
Jesse	gift; oblation; one who is
Susi	horse; swallow; moth
Pharisees	set apart
Tubal	the earth; the world; confusion
Haggeri	a stranger
Nebat	that beholds
Piram	a wild ass of them
Zatthu	olive tree
Tarshish	contemplation; examination
Deuel	the knowledge of God
Abishua	father of salvation
Nebai	budding; speaking; prophesying
Hashabniah	the silence of the Lord
Gareb	a scab
Phebe	shining; pure
Elath	a hind; strength; an oak
Kirjath-jearim	city of woods
Helkath-hazzurim	the field of strong men, or of rocks
Libya	the heart of the sea; fat
Ezel	going abroad; walk
Thaddeus	that praises or confesses
Shilshah	three; chief; captain
Crete	carnal; fleshly
Titus	pleasing
Gudgodah	happiness
Habaiah	the hiding of the Lord
Mattana	gifts; rains
Epaphras	covered with foam
Cain	possession, or possessed
Azaniah	hearing the Lord; the Lord's weapons
Abez	an egg; muddy
Ammiel	the people of God
Jordan	the river of judgment
Dura	same as Dor
Job	he that weeps or cries
Achish	thus it is; how is this
Hoshaiah	the salvation of the Lord
Thummim	perfection; truth
Bernice	one that brings victory
Telassar	taking away; heaping up
Obal	inconvenience of old age
Lotan	wrapt up; hidden; covered; myrrh; rosin
Abiud	father of praise
Beeliada	an open idol
Gemalli	wares; a camel
Baca	a mulberry-tree
Gershon	his banishment; the change of pilgrimage
Gershom	a stranger here
Naomi	beautiful; agreeable
Kirjathaim	the two cities; callings; or meetings
Abishur	father of the wall; father of uprightness
Shema	hearing; obeying
Chenaanah	broken in pieces
Serah	lady of scent; song; the morning star
Mephaath	appearance, or force, of waters
Lemuel	God with them, or him
Andronicus	a man excelling others
Sanhedrin	sitting together
Gazabar	a treasurer
Shillem	peace; perfection; retribution
Lebbeus	a man of heart; praising; confessing
Jazer	assistance; helper
Mitylene	purity; cleansing; press
Mispereth	numbering; showing; increase of tribute
Taanach-shilo	breaking down a fig-tree
Jeroham	high; merciful; beloved
Poratha	fruitful
Ribai	strife
Goath	his touching; his roaring
Capernaum	the field of repentance; city of comfort
Shophan	rabbit; hid
Israel	who prevails with God
Ithiel	sign, or coming of God
Baaseiah	in making; in pressing together
Jerijah	same as Jeriah
Hegai	or Hege, meditation; word; groaning; separation
Hazar-hatticon	middle village; preparation
Ed	witness
Mithnite	loin; gift; hope
Matthias	same as Mattathias
Sadoc	or Zadok, just; righteous
Chelluh	all
Shaalabbim	understanding, or son of a fox
Sadducees	followers of Sadoc, or Zadok
Ater	left hand; shut
Bildad	old friendship
Michaiah	same as Micah
Selah	the end; a pause
Ain	same as Aiath
Babylon	same as Babel
Ishi	salvation
Zuriel	rock or strength of God
Millo	fullness
Mikloth	little wants; little voices; looking downward
Mahlah	same as Mahali
David	well-beloved, dear
Ammi-nadab	my people is liberal
Jada	knowing
Seirath	hairy; goat; demon; tempest
Dophkah	a knocking
Asahel	creature of God
Elihu	he is my God himself
Palti	deliverance; flight
Megiddon	same as Megiddo
Havilah	that suffers pain; that brings forth
Lamech	poor; made low
Laodicea	just people
Gomer	to finish; complete
Philologus	a lover of letters, or of the word
Hamon-gog	the multitude of Gog
Jotham	the perfection of the Lord
Meunim	dwelling-places; afflicted
Mahali	infirmity; a harp; pardon
Ahasuerus	prince; head; chief
Uphaz	pure gold; gold of Phasis or Pison
Heldai	the world; rustiness
Machi	poor; a smiter
Aaron	a teacher; lofty; mountain of strength
Nebuchadrezzar	tears and groans of judgment
Amashi-ali	same as Amaziah
Shebarim	breakings; hopes
Chun	making ready
Jozabad	same as Josabad
Iddo	his band; power; praise
Abner	father of light
Nicopolis	the city of victory
Jaazah	helper
Bashemath	perfumed; confusion of death; in desolation
Huri	being angry; or same as Huram
Chelub	a basket
Azmaveth	strong death; a he-goat
Jaazar	helper
Huzzab	molten
Hoglah	his festival or dance
Kolariah	voice of the Lord
Tabitha	clear-sighted; a roe-deer
Hadashah	news; a month
Nepheg	weak; slacked
Timnath	image; figure; enumeration
Sheleph	who draws out
Ahiram	brother of craft, or of protection
Tabrimon	good pomegranate; the navel; the middle
Paulus	same as Paul
Josibiah	the seat, or captivity of the Lord
Obadiah	servant of the Lord
Shitrai	gatherer of money
Eleazar	help of God, court of God
Ije-abarim	heaps of Hebrews, or of passers over
Zia	sweat; swelling
Zif	this or that; brightness; comeliness
Gilboa	revolution of inquiry
Pedahzur	strong or powerful savior; stone of redemption
Kanah	of reeds
Anak	a collar; ornament
Anah	one who answers; afflicted
Jehudi	praising; conferring
Ziz	flower; branch; a lock of hair
Anab	a grape; a knot
Timnah	forbidding
Adullam	their testimony; their prey; their ornament
Jashen	ancient; sleeping
Jashem	ancient; sleeping
Elijah	God the Lord, the strong Lord
Hazargaddah	imprisoned band
Abinoam	father of beauty
Adaliah	one that draws water; poverty; cloud; death
Pagiel	prevention, or prayer, of God
Jasher	righteous; upright
Ramath-lehi	elevation of the jaw-bone
Enan	cloud
Jerioth	kettles; breaking asunder
Enam	fountain, open place
Gispa	coming hither
Aristobulus	a good counselor
Gittites	men of Gath, ie., of a wine-press
Beeri	my well
Philip	warlike; a lover of horses
Jiphtah	opening
Nisan	standard; miracle
Hepher	a digger
Beera	a well; declaring
Julius	same as Julia
Joelah	lifting up; profiting; taking away slander
Salmon	peaceable; perfect; he that rewards
Hezir	a bog; converted
Moserah	erudition; discipline
Jahmai	warm; making warm
Mishma	hearing; obeying
Menahem	comforter; who conducts them; preparation of heat
Hodaiah	the praise of the Lord
Ishmachiah	cleaving to the Lord
Adbeel	vapor, or cloud of God
Assur	same as Ashur
Shual	fox; path; first
Archippus	a master of horses
Absalom	father of peace
Cherethites	who cut or tear away
Palestina	which is covered; watered; or brings and causes ruin
Taberah	burning
Ard	one that commands; he that descends
Zibiah	the Lord dwells; deer; goat
Bethany	the house of song; the house of affliction
Parosh	a flea; the fruit of a moth
Bethsaida	house of fruits, or of food, or of snares
Hapharaim	searching; digging
Pethahiah	the Lord opening; gate of the Lord
Shashai	rejoicing; mercy; linen
Shashak	a bag of linen; the sixth bag
Zebudah	endowed; endowing
Anaharath	dryness, burning, wrath
Middin	judgment; striving
Sceva	disposed; prepared
Shophach	pouring out
Mattatha	his gift
Jokmeam	confirmation, or revenge, of the people
Elzabad	the dowry of God
Sabtah	a going about or circuiting; old age
Caleb-Ephratah	see Ephratah
Urbane	courteous
Heres	the son; an earthen pot
Lebanon	white, incense
Persis	same as Persia
Jeshebeab	sitting, or captivity, of the father
Jaakobah	supplanter; deceiver; the heel
Ulla	elevation; leaf; young child
Shadrach	tender, nipple
Shaalbim	that beholds the heart
Zaccheus	pure; clean; just
Shebna	who rests himself; who is now captive
Moriah	bitterness of the Lord
Beulah	married
Nabal	fool; senseless
Nathanael	the gift of God
Tyrus	strength; rock; sharp
Taphath	distillation; drop
Ichabod	where is the glory? or, no glory
Cornelius	of a horn
Joseph	increase; addition
Salcah	thy basket; thy lifting up
Kerioth	the cities; the callings
Semachiah	joined to the Lord
Jaala	ascending; a little doe or goat
Baruch	who is blessed
Jannes	who speaks or answers; afflicted; poor
Elihoreph	god of winter, or of youth
Beth-aven	the house of vanity; of iniquity of trouble
Elioenai	toward him are mine eyes; or to him are my fountains
Elishua	God is my salvation
Ahio	his brother; his brethren
Roman	strong; powerful
Arimathea	a lion dead to the Lord
Hivites	wicked; wickedness
Cleophas	the whole glory
Adonikam	the Lord is raised
Asher	happiness
Phlegon	zealous; burning
Levi	associated with him
Machbenah	poverty; the smiting of his son
Abdon	servant; cloud of judgment
Ahuzam	their taking or possessing vision
Barjesus	son of Jesus or Joshua
Kehelahath	a whole; a congregation
Jeuz	he that is devoured
Betah	confidence
Jehud	praising; conferring
Pul	bean; destruction
Achaia	grief; trouble
Shemiramoth	the height of the heavens
Eldaah	knowledge of God
Heleb	the world; rustiness
Barachias	same as Barachel
Pur	lot
Succoth-benoth	the tents of daughters, or young women; or prostitutes
Izhar	clearness; oil
Adah	an assembly
Jezer	island of help
Adam	earthy; red
Zeeb	wolf
Bozrah	in tribulation or distress
Zaccai	pure meat; just
Claudia	lame
Sarai	my lady; my princess
Nadab	free and voluntary gift; prince
Solomon	peaceable; perfect; one who recompenses
Emmanuel	God with us
Sia	moving; help
Adar	high; eminent
Samaria	watch-mountain
Sharezer	overseer of the treasury, or of the storehouse
Midian	judgment; covering; habit
Charran	a singing or calling out
Rosh	the head; top, or beginning
Aphekah	strength; a rapid torrent
Abaddon	the destroyer
Abinadab	father of a vow, or of willingness
Joezer	he that aids
Jehoram	exaltation of the Lord
Delilah	poor; small; head of hair
Regemmelech	he that stones the king; purple of the king
Gebal	bound; limit
Jehohanan	grace, or mercy, or gift, of the Lord
Mellicu	his kingdom; his counselor
Atarah	a crown
Segub	fortified; raised
Garmites	men of Garmi, ie., bones, or, my cause
Magdiel	declaring God; chosen fruit of God
Barjona	son of a Jona; of a dove
Ben-ammi	son of my people
Zereth	same as Zer
Jerebai	fighting; chiding; multiplying
Hadarezer	same as Hadadezer
Ava	or Ivah, iniquity
Gabriel	God is my strength
Bethanath	house of affliction
Enon	cloud; mass of darkness; fountain; eye
Azzur	same as Azur
Zephon	that sees and observes; that expects or covers
Lucas	luminous; white
Kirjath-arba	city of four; fourth city
Elon	oak; grove; strong
Zoheleth	that creeps, slides, or draws
Prochorus	he that presides over the choirs
Tiberias	good vision; the navel
Jaalam	hidden; young man; heir
Raddai	ruling; coming down
Rezin	good-will; messenger
Hazelelponi	sorrow of countenance
Mahath	same as Maath
On	pain; force; iniquity
Ahithophel	brother of ruin or folly
Jeaterai	searching out
En-gedi	eye, or fountain, of the goat, or of happiness
Charchemish	a lamb; as taken away; withdrawn
Hormah	devoted or consecrated to God; utter destruction
Zuzims	the posts of a door; splendor; beauty
Uzal	wandering
Gethsemane	a very fat or plentiful vale
Stephen	same as Stephanas
Pelonite	falling; secret
Mahanaim	tents; two fields; two armies
Hakkoz	a thorn; summer; an end
Zebedee	abundant; portion
Eneas	laudable
Lo-ruhamah	not having obtained mercy; not pitied
Festus	festive, joyful
Trophimus	well educated; well brought up
Pinon	pearl; gem; that beholds
Mark	same as Marcus
Phalti Palti	deliverance, flight
Mara	bitter; bitterness
Darius	he that informs himself
Bekah	half a shekel
Sansannah	bough or bramble of the enemy
Mary	same as Miriam
Jamin	right hand; south wind
Baal-hamon	who rules a crowd
Elnathan	God hath given; the gift of God
Ebal	ancient heaps
Helez	armed; set free
Baal-berith	idol of the covenant
Hushai	their haste; their sensuality; their silence
Hushah	hasting; holding peace
Beerelim	the well of Elim, or of rains
Eladah	the eternity of God
Ammishaddai	the people of the Almighty; the Almighty is with me
Pharez	division; rupture
Adoram	their beauty; their power
Justus	just or upright
Ginath	a garden
Madmannah	measure of a gift; preparation of a garment
Jerah	the moon; month; smelling sweet
Zorah	leprosy; scab; hornet
Irijah	the fear of the Lord
Neri	my light
Isui	same as Ishuah
Phichol	the mouth of all, or every tongue
Achim	preparing; revenging; confirming
Jahaleel	praising God; light of God
Jairus	my light; who diffuses light
Eliphaz	the endeavor of God
Kirharaseth	city of the sun; wall of burnt brick
Kibroth-hattaavah	the graves of lust
Asiel	the work of God
Janna	who speaks or answers; afflicted; poor
Belial	wicked, worthless
Irpeel	the health, medicine, or exulting of God
Gibeah	a hill
Mehujael	who proclaims God
Eliphal	a miracle of God
Binea	son of the Lord
Hiddekel	sharp voice; sound
Ashtaroth	flocks; sheep; riches
Ozem	that fasts; their eagerness
En-rimmon	well of weight
Judas	same as Judah
Thahash	that makes haste; that keeps silence
Amplias	large; extensive
Jehoaddan	pleasure, or time, of the Lord
Theophilus	friend of God
Dionysius	divinely touched
Pentecost	fiftieth
Anani	a cloud; prophecy; divination
Jehovah-jireh	the Lord will provide
Elasah	the doings of God
Chemarims	black ones
Sorek	vine; hissing; a color inclining to yellow
Kallai	light; resting by fire; my voice
Ulam	the porch; the court; their strength; their folly
Gilalai	a wheel
Ulai	strength; fool; senseless
Togarmah	which is all bone
Casluhim	hopes of life
Tophet	a drum; betraying
Gallim	who heap up; who cover
Lapidoth	enlightened; lamps
Melech	king; counselor
Tolad	a generation
Tophel	ruin; folly; without understanding
Kirioth	same as Kerioth
Mahli	same as Mahali
Allon-bachuth	the oak of weeping
Gederothaim	hedges
Abdi	my servant
Hattush	forsaking sin
Zuph	that beholds, observes, watches; roof; covering
Jedeiah	one Lord; the joy of the Lord
Abda	a servant; servitude
Gergesenes	those who come from pilgrimage or fight
Dabareh	the word; the thing; a bee; obedient
Shaphat	judge
Shicron	drunkenness; his gift; his wages
Chislon	hope, trust
Maaseiah	the work of the Lord
Rufus	red
Mahanem	a comforter
Amram	an exalted people; their sheaves; handfuls of corn
Vajezatha	sprinkling the chamber
Attai	same as Athlai
Seleucia	shaken or beaten by the waves
Ramathaim-zophim	the two watch-towers
Sotai	conclusion in pleading; binding
Eglah	heifer; chariot; round
Baal-zebub	god of the fly
Jidlaph	he that distills water
Paltiel	deliverance; or banishment, of God
Shelumiel	same as Shelemiah
Medad	he that measures; water of love
Bethabara	the house of confidence
Tanhumeth	consolation; repentance
Ebiasaph	a father that gathers or adds
Medan	judgment; process
Shimron	same as Shimri
Hatach	he that strikes
Jesiah	sprinkling of the Lord
Hermas	Mercury; gain; refuge
Jabal	which glides away
Kirharesh	city of the sun; wall of burnt brick
Bul	old age; perishing
Gedaliah	God is my greatness
Esau	he that acts or finishes
Rhoda	a rose
Ahaziah	seizure; vision of the Lord
Isaiah	the salvation of the Lord
Idalah	the hand of slander, or of cursing
Taanach	who humbles thee; who answers thee
Naham	comforter; leader
Syracuse	that draws violently
Athaliah	the time of the Lord
Noah	that quavers or totters (Zelophehad's daughter)
Barak	thunder, or in vain
Shamed	destroying; wearing out
Ardon	ruling; a judgment of malediction
Putiel	God is my fatness
Jekabzeel	the congregation of God
Eliab	God is my father; God is the father
Harod	astonishment; fear
Cephas	a rock or stone
Mered	rebellious, ruling
Pharaoh	that disperses; that spoils
Amalek	a people that licks up
Tychicus	casual; by chance
Eliam	the people of God
Jezebel	chaste
Beth-azmaveth	house of death's strength
Kedar	blackness; sorrow
Nod	vagabond; fugitive
Noe	same as Noah
Shelomith	my peace; my happiness; my recompense
Meshullam	peaceable; perfect; their parables
Meres	defluxion; imposthume
Luz	separation; departure; an almond
Jahdo	I alone; his joy; his sharpness of wit; his newness
Ibzan	father of a target; father of coldness
Tarea	howling; doing evil
Mercurius	an orator; an interpreter
Pilate	armed with a dart
Nahash	snake; serpent
Reu	his friend; his shepherd
Malchus	my king, kingdom, or counselor
Sherebiah	singing with the Lord
Ezri	my help
Ram	elevated; sublime
Tabor	choice; purity; bruising
Shammah	loss; desolation; astonishment
Shammai	my name; my desolations
Haggith	rejoicing
Ezra	help; court
Epher	dust; lead
Spain	rare; precious
Nehushta	made of brass
Gadarenes	men of Gadara, i.e., a place surrounded or walled
Lael	to God; to the mighty
Mizzah	defluxion from the head
Beelzebub	same as Baalzebub
Dor	generation, habitation
Jeush	he that is devoured
Jehubbah	hiding, binding
Phurah	that bears fruit, or grows
Jagur	husbandman; stranger
Abednego	servant of light; shining
Bohan	in them
Peulthai	my works
Pathros	Pathrusim, mouthful of dough; persuasion of ruin
Siddim	the tilled field
Rezeph	pavement; burning coal
Elkoshite	a man of Elkeshai
Calvary	the place of a skull
Ophrah	dust; lead; a fawn
Myra	I flow; pour out; weep
Dothan	the law; custom
