name	meaning
Rekem	vain pictures; divers picture
Mecherath	selling; knowledge
Gittah-hepher	digging; a wine-press
Jered	ruling; coming down
Eker	barren, feeble
Abishalom	father of peace
Jerubbesheth	let the idol of confusion defend itself
Seir	hairy; goat; demon; tempest
Rebekah	fat; fattened; a quarrel appeased
Canaan	merchant; trader; or that humbles and subdues
Gath-rimmon	the high wine-press
Beth-ezal	a neighbor's house
Remaliah	the exaltation of the Lord
Neriah	light; lamp of the Lord
Shechem	part; portion; back early in the morning
Shaaraim	gates; valuation; hairs
Bithron	divisions
Sheshai	six; mercy; flax
Gazez	a passing over
Tryphon	masculine of Tryphena
Sheshan	lily; rose; joy; flax
Zemira	song; vine; palm
Elmodam	the God of measure, or of the garment
Migdalgad	tower compassed about
Dedanim	the descendants of Dedan
Tola	worm; grub; scarlet
Chidon	a dart
Ebed-melech	the king's servant
Naum	same as Nahum
Gamul	a recompense
Ishbosheth	a man of shame
Heth	trembling; fear
Kadesh	holiness
Ephphatha	be opened
Hamutal	the shadow of his heat
Ahinadab	a willing brother; brother of a vow
Maadiah	pleasantness; the testimony of the Lord
Meronothite	my singing; rejoicing; bearing rule
Milcah	queen
Patmos	mortal
Esh-ban	fire of the sun
Horam	their hill
Christ	anointed
Anammelech	answer; poverty of the king
Moseroth	erudition; discipline
Emims	fears; terrors; formidable; people
Attalia	that increases or sends
Harnepher	the anger of a bull; increasing heat
Jedaiah	the hand of the Lord; confessing the Lord
Jediel	the knowledge, or renewing, of God
Tharah	same as Terah
Zillah	shadow; the tingling of the ear
Zophah	viol; honeycomb
Alammelech	God is king
Neiel	commotion, or moving, of God
Jediael	the science, or knowledge, of God
Rachel	sheep
Hebrews	descendants of Heber
Rabbi	my master
Er	watchman
Maleleel	same as Mahaleleel
Meshach	that draws with force
Shibboleth	ear of corn; stream or flood
Elealeh	burnt-offering of God
Jehoash	fire of the Lord
Sodom	their secret; their cement
Bealiah	the god of an idol; in an assembly
Matthal	gift; he that gives
Matthan	same as Mattan
Abimelech	father of the king
Cedron	black; sad
Jehoshua	same as Joshua
Cyrenius	who governs
Bilgah	ancient countenance
Zared	strange descent
Shelomi	my peace; my happiness; my recompense
Elohi	God
Jahleel	waiting for, or beseeching, or hope in, God
Bunah	building; understanding
Maachathi	broken
Zaza	belonging to all
Bathsheba	the seventh daughter; the daughter of satiety
Mearah	den; cave; making empty
Jehaleleel	praising God; clearness of God
Jogli	passing over; turning back; rejoicing
Nathan	given; giving; rewarded
Asshurim	liers in want; beholders
Debir	an orator; a word
Jeezer	island of help
Eshcol	bunch of grapes
Jarib	fighting; chiding; multiplying; avenging
Zimzi	my field; my vine
Haruphite	slender; sharp
Shimrith	same as Shimri
Shisha	of marble; pleasant
Serug	branch; layer; twining
Zidon	hunting; fishing; venison
Achsah	adorned; bursting the veil
Jehoshaphat	the Lord is judge
Nezib	standing-place
Karnaim	horns
Omri	sheaf of corn
Hazaiah	seeing the Lord
Samuel	heard of God; asked of God
Adamah	red earth; of blood
India	praise; law
Mushi	he that touches, that withdraws or takes away
Og	a cake; bread baked in ashes
Beraiah	the choosing of the Lord
Persia	that cuts or divides; a nail; a gryphon; a horseman
Ezbon	hastening to understand
Obil	that weeps; who deserves to be bewailed
Abba	father
Addin	adorned; delicious; voluptuous
Chaldea	as demons, or as robbers
Damaris	a little woman
Shiloah	same as Siloah
Baalis	a rejoicing; a proud lord
Meribah	dispute; quarrel
Melchi-shua	king of health; magnificent king
Baalim	idols; masters; false gods
Shushan	lily; rose; joy
Patara	trodden under foot
Joshah	being; forgetting; owing
Hermon	anathema; devoted to destruction
Zemaraim	wool; pith
Dibon-gad	great understanding; abundance of sons
Gabbatha	high; elevated
Dumali	silence; resemblance
Hor-hagidgad	the hill of felicity
Belah	destroying
Haman	noise; tumult
Iconium	coming
Maale-akrabbim	ascent of scorpions
Annas	one who answers; humble
Timnath-heres	image of the sun; numbering of the rest
Mallothi	fullness; circumcision
Shibmah	overmuch captivity, or sitting
Hosah	trusting
Gatam	their lowing; their touch
Rumah	exalted; sublime; rejected
Noadiah	witness, or ornament, of the Lord
Ocran	a disturber; that disorders
Manahethites	my lady; my prince of rest
Mibhar	chosen; youth
Iim	heaps of Hebrews, or of angry men
Perazim	divisions
Chozeba	men liers in wait
Hiel	God lives; the life of God
Admatha	a cloud of death; a mortal vapor
Neariah	child of the Lord
Iram	the effusion of them; a high heap
Shecaniah	habitation of the Lord
Chesulloth	fearfulness
Illyricum	joy; rejoicing
Seneh	same as Senaah
Aeneas	praised; praiseworthy
Saph	rushes; sea-moss
Zuar	same as Zoar
Jehiah	the Lord liveth
En-rogel	the fuller's fountain; the well of searching
Avim	wicked or perverse men
Aharhel	another host; the last sorrow; a brother's sheep
Immer	saying; speaking; a lamb
Bichri	first-born; first fruits
Zobah	an army; warring
Eben-ezer	the stone of help
Abram	high father
Uri	my light, my fire
Pergamos	height; elevation
Huppim	a chamber covered; the sea-shore
Cappadocia	the same as Caphtor
Geba	a hill; cup
Abilene	the father of mourning
Gaddi	my troop; a kid
Carshena	a lamb; sleeping
Ibhar	election; he that is chosen
Ishmaiah	hearing or obeying the Lord
Kirjath-arim	city of those who watch
Ophir	fruitful region
Asaiah	the Lord hath wrought
Jacob	that supplants, undermines; the heel
Baara	a flame; purging
Ramath-mizpeh	elevation of the watch-tower
Kabzeel	the congregation of God
Jethlah	hanging up; heaping up
Genubath	theft; robbery
Omar	he that speaks; bitter
Ziza	same as Zina
Hara	a hill; showing forth
Ibniah	the building of the Lord; the understanding of the Lord;
Jesui	even-tempered; flat country
Jesus	savior; deliverer
Siloa	same as Shilhi
Siloe	same as Shilhi
Lysias	dissolving
Sacar	wares; a price
Epenetus	laudable; worthy of praise
Caphtor	a sphere, buckle, or hand
Raamah	greatness; thunder; some sort of evil
Mithredath	breaking the law
Zachariah	memory of the Lord
Eglaim	drops of the sea
Shoshannim	those that shall be changed
Tabbath	good; goodness
Tamar	palm; palm-tree
Zephath	which beholds; that attends or that covers
Hobah	love; friendship; secrecy
Huz	counsel; woods; fastened
Hobab	favored; beloved
Magdala	tower; greatness
Chedorlaomer	roundness of a sheaf
Sethur	hid; destroying
Tamah	blotting or wiping out; smiting
Pentateuch	the five books of Moses
Hul	pain; infirmity
Parmashta	a yearling bull
Phygellus	fugitive
Asa	physician; cure
Hanan	full of grace
Athach	thy time
Shelemiah	God is my perfection; my happiness; my peace
Kartah	calling; meeting
Pithon	mouthful; persuasion
Pithom	their mouthful; a dilatation of the mouth
Rohgah	filled or drunk with talk
Baal-zephon	the idol or possession of the north; hidden; secret
Asia	muddy; boggy
Ashbel	an old fire
Hadoram	their beauty; their power
Gazzam	the fleece of them
Japhia	enlightening; appearing
Ozni	an ear; my hearkening
Janum	sleeping
Etham	their strength; their sign
Ethan	strong; the gift of the island
Milalai	circumcision; my talk
Chephirah	a little lioness
Abishai	the present of my father
Crispus	curled
Zelzah	noontide
Nazarite	one chosen or set apart
Shishak	present of the bag; of the pot; of the thigh
Beth-pazzez	house of dividing asunder
Prisca	ancient
Makheloth	assemblies; congregations
Nehelamite	dreamer; vale; brook
Japhleti	delivered; banished
Jarmuth	fearing, or seeing, or throwing down, death
Mahalath	sickness; a company of dancers; a harp
Ezekiel	the strength of God
Geder	a wall
Aiath	same as Ai; an hour; eye; fountain
Ornan	that rejoices
Nicodemus	victory of the people
Abana	made of stone; a building
Benhadad	son of Hadad, or noise
Kenah	buying; possession
Kenan	buyer; owner
Ezion-geber	the wood of the man
Assos	approaching; coming near
Baal-meon	idol or master of the house
Succoth	tents; tabernacles
Sela	a rock
Machnadebai	smiter
Tehinnah	entreaty; a favor
Antipatris	for, or against the father
Nethaniah	the gift of the Lord
Calcol	nourishing
Hakkatan	little
Asriel	help of God
Abijah	the Lord is my father
Kenaz	this purchase; this lamentation
Abijam	father of the sea
Lebaoth	lividness
Jothatha	his goodness
Haradah	well of great fear
Abihud	father of praise; confession
Benjamin	son of the right hand
Eunice	good victory
Bithynia	violent precipitation
Jeriah	fear, or throwing down, of the Lord
Mizar	little
Shenir	lantern; light that sleeps
Habazinaiah	a hiding of the shield of the Lord
Dishan	a threshing
Toah	weapon; dart
Raphah	relaxation; physic; comfort
Apollonius	destroying
Methusael	who demands his death
Hadassah	a myrtle; joy
Rephidim	beds; places of rest
Shephatiah	the Lord that judges
Zaham	crime; filthiness; impurity
Hazar-susah	or susim, the hay-paunch of a horse
Ziph	this mouth or mouthful; falsehood
Elisabeth	the oath, or fullness, of God
Evil-merodach	the fool of Merodach; the fool grinds bitterly
Mizpeh	a watch-tower; speculation
Hadad	joy; noise; clamor
Sabeans	captivity; conversion; old age
Manoah	rest; a present
Ahisamach	brother of strength
Imnah	same as Jimnah
Hadar	power; greatness
Jathniel	gift of God
Gazer	a dividing; a sentence
Lubin	heart of a man; heart of the sea
Ruhamah	having obtained mercy
Timon	honorable; worthy
Tatnai	that gives; the overseer of the gifts and tributes
Ishbak	who is empty or exhausted
Malchijah	the Lord my king, or my counselor
Pahath-Moab	ruler of Moab
Helbah	milk, fatness
Eltekeh	of grace or mercy
Emmaus	people despised or obscure
Jubal	he that runs; a trumpet
Jeroboam	he that opposes the people
Ivah	iniquity
Riphath	remedy; medicine; release; pardon
Harran	see Charran
Bigvai	in my body
Beth-gamul	house of recompense, or of the camel
Pekahiah	it is the Lord that opens
Cana	zeal; jealousy; possession
Marsena	bitterness of a bramble
Hezer	a bog; converted
Abi-albon	most intelligent father
Darah	generation; house of the shepherd or of the companion
Hezrai	an entry or vestibule
Ner	a lamp; new-tilled land
Tishbite	that makes captive
Hazar-shual	a wolf's house
Zer	perplexity
Haniel	the gift of God
Parmenas	that abides, or is permanent
Nergal-sharezer	treasurer of Nergal
Meah	a hundred cubits
Haggi	a stranger
Malachi	my messenger; my angel
Jeremiah	exaltation of the Lord
Cosam	divining
Dinhabah	he gives judgment
Moreh	stretching
Simeon	that hears or obeys; that is heard
Jehu	himself who exists
Heshbon	invention; industry
Jehoahaz	possession of the Lord
Bigthan	in the press; giving meat
Shimeon	same as Simeon
Misrephoth-maim	hot waters
Ataroth-addar	crowns of power
Ben	a son
Sinim	south country,
Ahava	essence; being; generation
Saphir	delightful
Giddel	great
Shalmaneser	peace; tied; chained; perfection; retribution
Harim	destroyed; dedicated to God
Ashdod	effusion; inclination; theft
Ishma	named; marveling; desolation
Bithiah	daughter of the Lord
Shemer	guardian; thorn
Gamaliel	recompense of God; camel of God
Coos	top, summit
Raamiah	thunder, or evil, from the Lord
Artemas	whole, sound
Shuham	talking; thinking; humiliation; budding
Ziddim	huntings; treasons; destructions
Jachan	wearing out; oppressing
Bezek	lightning; in the chains
Bezer	vine branches
Jaazaniah	whom the Lord will hear
Azaziah	strength of the Lord
Dabbasheth	flowing with honey
Harbonah	his destruction; his sword
Shebaniah	the Lord that converts, or recalls from captivity
Shamer	prison; bush; lees; thorn
Rakkath	empty; temple of the head
Nephish	same as Naphish
Zarephath	ambush of the mouth
Elkanah	God the zealous; the zeal of God
Jebus	treading under foot; manger
Benaiah	son of the Lord
Sardites	removing a dissension
Delaiah	the poor of the Lord
Makkedah	worshiping; burning; raised; crookedness
Abihail	the father of strength
Gabbai	the back
Shethar-boznai	that makes to rot; that seeks those who despise me
Ludim	same as Lod
Jether	he that excels
Ehud	he that praises
Boanerges	son of thunder
Pai	howling; sighing
Bether	division, or in the trial
Ahoah	a live brother; my thorn or thistle
Jattir	a remnant; excellent
Naashon	that foretells; that conjectures
Ahimoth	brother of death
Heleph	changing; passing over
Pau	same as Pai
Magog	covering; roof; dissolving
Fortunatus	lucky, fortunate
Crescens	growing; increasing
Ajalon	a chain; strength; a stag
Kadmiel	God of antiquity; God of rising
Sarah	lady; princess; princess of the multitude
Joatham	same as Jotham
Hushim	man of haste, or of silence
Toi	who wanders
Hathath	fear
Hanniel	grace or mercy of God
Maranatha	the Lord is coming
Syene	a bush; enmity
Tob	good; goodness
Thyatira	a perfume; sacrifice of labor
Luke	luminous; white
Gederoth	a wall
Chebar	force or strength
Dalaiah	the poor of the Lord
Shemida	name of knowledge; that puts knowledge
Hashabnah	the silence of the Lord
Jaresiah	the bed of the Lord; the Lord hath taken away; poverty
Salah	mission; sending
Merodach	bitter contrition
Arcturus	a gathering together
Gideon	he that bruises or breaks; a destroyer
Jobab	sorrowful, hated
Chuza	the seer or prophet
Ashnah	change
Asaph	who gathers together
Paphos	which boils, or is very hot
Jeremoth	eminences; one that fears death
Eliah	God the Lord
Nibhaz	budding; prophesying
Ahiah	brother of the Lord
Gideoni	same as Gideon
Ahiam	mother's brother; brother of a nation
Ahian	brother of wine
Salome	same as Salmon
Telharsa	suspension of the plow
Misheal	requiring; lent; pit
Jericho	his moon; his month; his sweet smell
El-elohe-Israel	God, the God of Israel
Anamim	a fountain; answer; affliction
Methusaleh	he has sent his death
Ahinoam	beauty of the brother; brother of motion
Mahaleleel	praising God
Non	posterity; a fish; eternal
Genesis	beginning
Michmethah	the gift or death of a striker
Achan	or Achar, he that troubleth
Adami	my man; red; earthy; human
Achab	brother of the father
Shuni	changed; sleeping
Achaz	one that takes, or possesses
Elias	same as Elijah
Mezahab	gilded
Ohel	tent; tabernacle; brightness
Beth-gader	a house for a mouse
Semei	hearing; obeying
Azariah	he that hears the Lord
Gerizim	cutters, hatchets
Ahi	my brother; my brethren
Rehpaim	giants; physicians; relaxed
Zalmonah	the shade; the sound of the number; his image
Corinth	which is satisfied; ornament; beauty
Shabbethai	my rest
Beth-rapha	house of health
Galatia	white; the color of milk
Ira	watchman; making bare; pouring out
Hachilah	my hope is in her
Jehovah-tsidkenu	the Lord our righteousness
Beth-baalmeon	an idol of the dwelling-place
Amok	a valley; a depth
Tob-adonijah	my good God; the goodness of the foundation of the Lord
Merodach-baladan	bitter contrition, without judgment
Jose	raised; who pardons
Abel-maim	mourning of waters
Obed-edom	servant of Edom
Amoz	strong; robust
Harhaiah	heat, or anger, of the Lord
Baalath-beer	subjected pit
Demas	popular
Troas	penetrated
Talitha-cumi	young woman, arise
Asyncritus	incomparable
Joab	paternity; voluntary
Ahitub	brother of goodness
Baal	master; lord
Ozias	strength from the Lord
Secacah	shadow; covering; defense
Jecamiah	resurrection, or confirmation, or revenge, of the Lord
Rei	my shepherd; my companion; my friend
Shobek	made void; forsaken
Almodad	measure of God
Beeroth	wells; explaining
Ahihud	brother of vanity, or of darkness, or of joy, or of praise;
Jehozadak	justice of the Lord
Bochim	the place of weeping; or of mulberry-trees
Bathsuha	same as Bathsheba
Ahijah	same with Ahiah
Amal	labor; iniquity
Aman	mother; fear of them
Ethiopia	blackness; heat
Berodach-baladan	the son of death
Amad	people of witness; a prey
Beersheba	the well of an oath; the seventh well
En-eglaim	eye, or fountain, of calves
Melchiah	God is my king
Harhas	anger; heat of confidence
Eliathah	thou art my God
Zaccur	of the male kind; mindful
Tema	admiration; perfection; consummation
Harumaph	destruction
Hebron	society; friendship
Apharsites	(from a root meaning) dividing or rending
Michael	same as Micah
Shelesh	captain; prince
Meremoth	bitterness; myrrh of death
Elead	witness of God
Jaaziah	the strength of the Lord
Jason	he that cures
Abiel	God my father
Gemariah	accomplishment or perfection of the Lord
Rehoboth	spaces; places
Antioch	speedy as a chariot
Goshen	approaching; drawing near
Derbe	a sting
Shimon	providing well; fatness; oil
Tertullus	third
Meonenim	charmers, regarders of times
Phenice	Phoenicia, red; purple
Magdalene	a person from Magdala
Lud	same as Lod
Eliphalet	the God of deliverance
Keren-happuch	the horn or child of beauty
Jesher	right; singing
Jibsam	their drought, their confusion
Shua	crying; saving
Heli	ascending; climbing up
Hirah	liberty; anger
Mizraim	tribulations
Narcissus	astonishment; stupidity
Shear-jashub	the remnant shall return
Shur	wall; ox; that beholds
Neapolis	the new city
Kedemoth	antiquity; old age
Jaanai	answering; afflicting; making poor
Tartak	chained; bound; shut up
Tartan	a general (official title)
Hagar	a stranger; one that fears
Tiria	searching out
Marcus	polite; shining
Asuppim	gatherings
Carcas	the covering of a lamb
Jedidah	well beloved; amiable
Shimshai	my son
Hagab	a grasshopper
Hazor	court; hay
Barnabas	son of the prophet, or of consolation
Perga	very earthy
Esli	near me; he who separates
Sosthenes	savior; strong; powerful
Jerusha	banished; possession; inheritance
Clement	mild; good; merciful
Sharon	his plain; his song
Caleb	a dog; a crow; a basket
Irad	wild ass; heap of empire; dragon
Paul	small; little
Aharah	a smiling brother; a meadow of a sweet savor
Mahlon	same as Mahali
Jekuthiel	hope, or congregation, of the Lord
Sichem	portion; shoulder
Ishod	a comely man
Sharar	navel; thought; singing
Gebim	grasshoppers; height
Uzzi	my strength; my kid
Mijamin	right hand
Buz	despised; plundered
Raphu	relaxation; physic; comfort
Sharai	my lord; my prince; my song
Azor	a helper; a court
Herod	son of a hero
Noha	rest; a guide
Jonadab	who gives liberally
Berea	heavy; weighty
Heman	their trouble; tumult; much; in great number
Bered	hail
Agar	or Hagar, a stranger; one that fears
Seled	affliction; warning
Jeziah	sprinkling of the Lord
Halhul	grief; looking for grief
Epicurean	follower of Epicurus, i.e., of one who gives assistance
Miniamin	right hand
Perida	separation; division
Gozan	fleece; pasture; who nourisheth the body
Shiggaion	a song of trouble or comfort
Shenazar	treasurer of a tooth
Ithai	strong; my sign; a plowshare
Jehovah-shalom	the Lord send peace
Pontus	the sea
Dannah	judging
Naboth	words; prophecies
Alpheus	a thousand; learned; chief
Aristarchus	the best prince
Jerusalem	vision of peace
Saron	same as Sharon
Aijeleth-Shahar	the land of the morning
Jeuel	God hath taken away; God heaping up
Joiarib	chiding, or multiplying, of the Lord
Pamphylia	a nation made up of every tribe
Karkaa	floor; dissolving coldness
Izehar	clearness; oil
Galilee	wheel; revolution
Mozah	unleavened
Deuteronomy	repetition of the law
Lahmi	my bread; my war
Publius	common
Meshezaheel	God taking away; the salvation of God
Armageddon	hill of fruits; mountain of Megiddo
Tibbath	killing; a cook
Shimri	thorn; dregs
Hazezon-tamar	drawing near to bitterness
Zeredah	ambush; change of dominion
Beten	belly
Melchizedek	king of justice
Doeg	careful, who acts with uneasiness
Hupham	their chamber; their bank
Berachah	blessing; bending the knee
Azotus	the same as Ashdod
Nemuel	the sleeping of God
Shalmai	my garment
Dildah	his diminishing
Abagtha	father of the wine-press
Ethnan	gift
Hazeroth	villages; palaces
Phrygia	dry; barren
Amariah	the Lord says; the integrity of the Lord
Keturah	that makes the incense to fume
Binnui	building
Elohim	God
Haggiah	the Lord's feast
Shalman	peaceable; perfect; that rewards
Italy	abounding with calves or heifers
Baal-perazim	god of divisions
Silla	exalting
Esrom	dart of joy; division of a song
Kezia	superficies; the angle; cassia
Seraphim	burning; fiery
Arpad	the light of redemption
Mattenai	gifts; rains
Hashem	named; a putting to
Pelaiah	the Lord's secret or miracle
Keziz	end; extremity
Dibon	abundance of knowledge
Beth-dagon	the house of corn, or of fish
Tahath	fear; going down
Eshkalon	same as Askelon
Kohath	congregation; wrinkle; bluntness
Jehucal	mighty; perfect; wasted
Almon	hidden
Moab	of his father
Gilgal	wheel; rolling; heap
Bocheru	the first born
Shiza	this gift
Abiathar	excellent father; father of the remnant
Zebul	a habitation
Drusilla	watered by the dew
Dorcas	a female roe-deer
Hammedatha	he that troubles the law
Martha	who becomes bitter; provoking
Jehovah	self-subsisting
Beth-haccerem	house of the vineyard
Aenon	a cloud; fountain; his eye
Jokneam	possessing, or building up, of the people
Geber	manly, strong
Machpelah	double
Arabia	evening; desert; ravens
Senir	bed-candle; changing
Medeba	waters of grief; waters springing up
Helbon	milk, fatness
Jakan	same as Achan
Jeshohaia	the Lord pressing; the meditation of God
Zelek	the shadow or noise of him that licks or laps
Jabbok	evacuation; dissipation; wrestling
Zepho	that sees and observes; that expects or covers
Tarpelites	ravishers; succession of miracles
Nehemiah	consolation; repentance of the Lord
Jehosheba	fullness, or oath, of the Lord
Shamariah	throne or keeping of the Lord
Issachar	reward; recompense
Melchi	my king; my counsel
Ammon	a people; the son of my people
Sopater	who defends the father
Aminadab	same as Amminadab
Timeus	perfect; admirable; honorable
Appaim	face; nostrils
Hasadiah	the mercy of the Lord
Joash	who despairs or burns
Punon	precious stone; that beholds
Alian	high
Shobal	path; ear of corn
Shobai	turning captivity
Amzi	strong, mighty
Rephaiah	medicine or refreshment of the Lord
Shobab	returned; turned back; a spark
Zaphnath-paaneah	one who discovers hidden things
Abihu	he is my father
Shihon	sound; wall of strength
Lasea	thick; wise
Trachonitis	stony
Eliud	God is my praise
Peninnah	pearl; precious stone; the face
Manasseh	forgetfulness; he that is forgotten
Beor	burning; foolish; mad
Hashabiah	the estimation of the Lord
Junia	youth
Mibsam	smelling sweet
Naioth	beauties; habitations
Shimeath	that hears, or obeys; perdition
Seraiah	prince of the Lord
Adithaim	assemblies; testimonies
Nob	discourse; prophecy
Apharsathchites	(from a root meaning) dividing or rending
Onam	same as On
Jorim	he that exalts the Lord
Sepharvaim	the two books; the two scribes
Rehoboam	who sets the people at liberty
Sem	same as Shem
Reaiah	vision of the Lord
Philippi	same as Philip, in the plural
Telah	moistening; greenness
Thessalonica	victory against the Thessalians
Heber	one that passes; anger
Anathoth	or Anath, answer; song; poverty
Hadrach	point; joy of tenderness
Hethlon	a fearful dwelling
Hammelech	a king; a counselor
Lot	wrapt up; hidden; covered; myrrh; rosin
Magbish	excelling; height
Zeror	root; that straitens or binds; that keeps tight
Uriah	or Urijah, the Lord is my light or fire
Mahazioth	seeing a sign; seeing a letter
Halloesh	saying nothing; an enchanter
Kemuel	God hath raised up, or established him
Lod	nativity; generation
Shebuel	turning, or captivity, or seat, of God
Ananias	or Ananiah, the cloud of the Lord
Gihon	valley of grace
Elika	pelican of God
Iri	fire; light
Hena	troubling
Parah	a cow; increasing
Sud	my secret
Clauda	a lamentable voice
Lo-ammi	not my people
Elienai	the God of my eyes
Sur	that withdraws or departs; rebellion
Malchom	their king; their counselor
Shage	touching softly; multiplying much
Shallum	perfect; agreeable
Gur	the young of a beast; a whelp
Giloh	he that rejoices; he that overturns
Shimma	same as Shimeah
Sapphira	that relates or tells
Nimrah	leopard; bitterness; rebellion
Zion	monument; raised up; sepulcher
Jaziz	brightness; departing
Nebaioth	words; prophecies; buds
Perizzites	dwelling in villages
Lysanias	that drives away sorrow
Rehob	breadth; space; extent
Naamah	beautiful; agreeable
Nophah	fearful; binding
Ephron	dust
Naaman	beautiful; agreeable
Zior	ship of him that watches
Chalcol	who nourishes, consumes, and sustains the whole
Elteketh	the case of God
Silvanus	who loves the forest
Nahamani	comforter; leader
Mishmannah	fatness; taking away provision
Agag	roof; upper floor
Neginoth	stringed instruments
Achmetha	brother of death
Smyrna	myrrh
Jerahmeel	the mercy, or the beloved, of God
Mephibosheth	out of my mouth proceeds reproach
Phinehas	bold aspect; face of trust or protection
Cabul	displeasing; dirty
Sibbechai	bough; cottage; of springs
Masrekah	whistling; hissing
Jabesh	dryness; confusion; shame
Ethbaal	toward the idol, or with Baal
Ara	cursing; seeing
Gerar	same as Gera
Darkon	of generation; of possession
Arumah	high; exalted
Joppa	beauty; comeliness
Ashan	smoke
Joshbekesha	it is requiring or beseeching
Oded	to sustain, hold or lift up
Ezem	a bone
Tobiah	the Lord is good
Beth-diblathaim	house of dry figs
Maralah	sleep; a sacrifice of myrrh; ascension
Rome	strength; power
Ezer	a help
Shiphrah	handsome; trumpet; that does good
Harhur	made warm
Uzziah	the strength, or kid, of the Lord
Lydia	a standing pool
Besai	a despising; dirty
Hezron	the dart of joy; the division of the song
Nibshan	prophecy; growing of a tooth
Media	measure; habit; covering
Gehazi	valley of sight
Sheba	captivity; old man; repose; oath
Beth-horon	house of wrath
Niger	black
Mishraites	spread abroad
Minneiah	possession of the Lord
Samson	his sun; his service; there the second time
Adina	adorned; voluptuous; dainty
Zareah	leprosy; hornet
Seorim	gates; hairs; tempests
Shemariah	God is my guard
Migdol	a tower
Sallu	an exaltation; a basket
Zidkijah	justice of the Lord
Shammoth	names; desolations
Chesed	as a devil, or a destroyer
Argob	a turf, or fat land
Shalim	same as Salim
Judith	same as Judah
Schaaph	fleeing; thinking
Jared	a ruling; commanding; coming down
Jareb	a revenger
Tabeel	good God
Jehdeiah	joy together, one Lord
Jehonathan	gift of the Lord; gift of a dove
Naam	fair; pleasant
Betonim	bellies
Zarah	east; brightness
Hiram	exaltation of life; a destroyer
Abitub	father of goodness
Becher	first begotten; first fruits
Hephzibah	my delight is in her
Abimael	a father sent from God
Sergius	net
Barabbas	son of shame, confusion
Pison	changing; extension of the mouth
Hodesh	a table; news
Molech	king
Urim	lights; fires
Priscilla	same as Prisca
Jabin	he that understands; building
Golgotha	a heap of skulls; something skull-shaped
En-hakkore	fountain of him that called or prayed
Mahalah	sickness; a company of dancers; a harp
Nicolaitanes	followers of Nicolas
Jeshua	same as Joshua
Casleu	rashness; confidence
Rissah	watering; distillation; dew
Buzi	my contempt
Gur-baal	the governor's whelp
Coniah	strength of the Lord
Zedekiah	the Lord is my justice; the justice of the Lord
Jahaziel	seeing God
Raca	worthless; good-for-nothing
Jehovah-shammah	the Lord is there
Pekah	he that opens; that is at liberty
Josabad	having a dowry
Boskath	in poverty
Lehi	jawbone
Meraioth	bitterness; rebellious; changing
Remmon	greatness; elevation; a pomegranate-tree
Jude	same as Judah
Eri	my city
Zur	stone; rock; that besieges
Migron	fear; farm; throat
Behemoth	beasts
Maai	belly; heaping up
Esh-baal	the fire of the idol, or of the ruler
Beon	in affliction
Bishlam	in peace
Dekar	force
Sargon	who takes away protection
Javan	deceiver; one who makes sad
Shen	tooth; ivory; change
Nun	same as Non
Shem	name; renown
Gath	a wine-press
Baal-gad	idol of fortune or felicity
Giah	to guide; draw out; produce; a groan or sigh
Hodijah	same as Hodaiah
Ithamar	island of the palm-tree
Jeziel	sprinkling of the Lord
Ahilud	a brother born, or begotten
Shubael	returning captivity; seat of God
Hamor	an ass; clay; dirt
Sabtechah	that surrounds; that causes wounding
Vaniah	nourishment, or weapons, of the Lord
Nicolas	same as Nicodemus
Ginnetho	a garden
Shilhim	bough; weapon; armor
Ish-pan	hid; broken in two
Saruch	branch; layer; lining
Theudas	flowing with water
Josaphat	same as Jehoshaphat
Adoni-bezek	the lightning of the Lord; the Lord of lightning
Beriah	in fellowship; in envy
Zeresh	misery; strange; dispersed inheritance
Aholiab	the tent of the father
Cushan	Ethiopians; blackness
